Id,DepartureDate,DepartureAirportId,ArrivalAirportId,ClassPrices
1,2024-03-05 10:00,1,3,Economy:200.50;Business:500.00;FirstClass:800.00
2,2024-03-06 15:30,2,3,Economy:150.00;Business:450.00;FirstClass:700.00
3,2024-03-07 20:45,7,4,Economy:180.75;Business:550.25;FirstClass:950.50
1,2024-03-05 10:00,1,3,Economy:200.50;Business:500.00;FirstClass:800.00
2,2024-03-06 15:30,2,3,Economy:150.00;Business:450.00;FirstClass:700.00
3,2024-03-07 20:45,7,4,Economy:180.75;Business:550.25;FirstClass:950.50
4,2024-03-08 09:00,5,1,Economy:220.00;Business:560.00;FirstClass:1100.00
5,2024-03-09 12:00,6,2,Economy:250.00;Business:600.00;FirstClass:1150.00
6,2024-03-10 18:30,8,3,Economy:300.00;Business:650.00;FirstClass:1200.00
7,2024-03-11 22:15,9,4,Economy:320.00;Business:700.00;FirstClass:1250.00
8,2024-03-12 05:45,10,5,Economy:350.00;Business:750.00;FirstClass:1300.00
9,2024-03-13 14:30,1,6,Economy:370.00;Business:800.00;FirstClass:1350.00
10,2024-03-14 16:00,2,7,Economy:400.00;Business:850.00;FirstClass:1400.00
11,2024-03-15 19:45,3,8,Economy:420.00;Business:900.00;FirstClass:1450.00
12,2024-03-16 23:30,4,9,Economy:450.00;Business:950.00;FirstClass:1500.00
13,2024-03-17 07:00,5,10,Economy:470.00;Business:1000.00;FirstClass:1550.00
